xxxx;;;;;;;;;;;;;x;
################################################;;;;;;;;;;;;;x;
# Decision titles/descriptions;;;;;;;;;;;;;x;
################################################;;;;;;;;;;;;;x;
difficulty_settings_on_title;Difficulty Settings;;;;;;;;;;;;;x;
difficulty_settings_on_desc;This decision opens up a menu of decisions that allow you to create custom difficulty settings for your game.  NOTE: you need to close and re-open the diplomacy interface to force it to refresh!;;;;;;;;;;;;;x;
difficulty_settings_off_title;Difficulty Settings;;;;;;;;;;;;;x;
difficulty_settings_off_desc;This decision hides the list of difficulty decisions.  NOTE: you need to close and re-open the diplomacy interface to force it to refresh!;;;;;;;;;;;;;x;
difficulty_ai_normal_title;Normal AI Difficulty;;;;;;;;;;;;;x;
difficulty_ai_normal_desc;Taking this decision removes all difficulty bonuses from AI-controlled countries.  If you have set any faction-specific overrides you must reset them individually.;;;;;;;;;;;;;x;
difficulty_ai_hard_title;Hard AI Difficulty;;;;;;;;;;;;;x;
difficulty_ai_hard_desc;Taking this decision gives all AI-controlled countries a range of bonuses to make them stronger.  You can use other decisions to apply specific rules to members of different factions.;;;;;;;;;;;;;x;
difficulty_ai_veryhard_title;Very Hard AI Difficulty;;;;;;;;;;;;;x;
difficulty_ai_veryhard_desc;Taking this decision gives all AI-controlled countries a range of bonuses to make them stronger.  You can use other decisions to apply specific rules to members of different factions.;;;;;;;;;;;;;x;
difficulty_allies_normal_title;Normal AI Difficulty (Allies);;;;;;;;;;;;;x;
difficulty_allies_normal_desc;Taking this decision removes all bonuses from AI-controlled countries that are members of the Allies and overrides any general difficulty settings for this faction.;;;;;;;;;;;;;x;
difficulty_allies_hard_title;Hard AI Difficulty (Allies);;;;;;;;;;;;;x;
difficulty_allies_hard_desc;Taking this decision gives a range of bonuses to all AI-controlled countries that are members of the Allies and overrides any general difficulty settings for this faction.;;;;;;;;;;;;;x;
difficulty_allies_veryhard_title;Very Hard AI Difficulty (Allies);;;;;;;;;;;;;x;
difficulty_allies_veryhard_desc;Taking this decision gives a range of bonuses to all AI-controlled countries that are members of the Allies and overrides any general difficulty settings for this faction.;;;;;;;;;;;;;x;
difficulty_axis_normal_title;Normal AI Difficulty (Axis);;;;;;;;;;;;;x;
difficulty_axis_normal_desc;Taking this decision removes all bonuses from AI-controlled countries that are members of the Axis and overrides any general difficulty settings for this faction.;;;;;;;;;;;;;x;
difficulty_axis_hard_title;Hard AI Difficulty (Axis);;;;;;;;;;;;;x;
difficulty_axis_hard_desc;Taking this decision gives a range of bonuses to all AI-controlled countries that are members of the Axis and overrides any general difficulty settings for this faction.;;;;;;;;;;;;;x;
difficulty_axis_veryhard_title;Very Hard AI Difficulty (Axis);;;;;;;;;;;;;x;
